City,Country,Latitude,Longitude,Distance,City Code
Cawnpore,India,26.4725,80.3311,9046.250425,296
Baotou,China,40.6562,109.8345,11666.40902,297
Taipei,Taiwan,25.0478,121.5319,13152.48599,298
Nanping,China,26.6448,118.1728,12783.30171,299
Longyan,China,25.0881,117.0244,12709.77563,300
Ibadan,Nigeria,7.3964,3.9167,930.0905252,301
Hohhot,China,40.8151,111.6629,11811.71819,302
Chaozhou,China,23.67,116.63,12702.89824,303
Antananarivo,Madagascar,-18.9386,47.5214,5593.307049,304
Longba,China,33.535,105.349,11425.13943,305
Weihai,China,37.5,122.1,12780.44279,306
Chattogram,Bangladesh,22.335,91.8325,10196.23582,307
Santo Domingo,Dominican Republic,18.4764,-69.8933,7891.764789,308
Xuanzhou,China,30.9475,118.7518,12717.01297,309
Sanming,China,26.2658,117.6302,12740.40369,310
Brooklyn,United States,40.6501,-73.9496,8661.296925,311
Medellin,Colombia,6.2447,-75.5748,8413.437223,312
Brisbane,Australia,-27.4678,153.0281,15818.56172,313
Baoshan,China,25.1211,99.169,10930.17245,314
Dubai,United Arab Emirates,25.2697,55.3094,6563.285907,315
Luohe,China,33.583,114.0109,12211.18022,316
Qinbaling,China,35.7278,107.64,11591.33983,317
Mirzapur,India,25.15,82.58,9261.272984,318
Guangyuan,China,32.4353,105.8398,11488.76629,319
Cali,Colombia,3.44,-76.5197,8511.537095,320
Daegu,"Korea, South",35.8667,128.6,13384.81301,321
Fortaleza,Brazil,-3.7275,-38.5275,4301.053952,322
Guatemala City,Guatemala,14.6099,-90.5252,10064.27102,323
Yaounde,Cameroon,3.8578,11.5181,1349.791462,324
Douala,Cameroon,4.05,9.7,1168.02417,325
Jilin,China,43.85,126.55,12835.91313,326
Lianshan,China,40.7503,120.83,12548.09699,327
Lincang,China,23.8864,100.0871,11032.46958,328
Antalya,Turkey,36.9081,30.6956,5177.571417,329
Tashkent,Uzbekistan,41.3,69.2667,8292.641668,330
Huangshi,China,30.2018,115.0326,12392.99653,331
Bandung,Indonesia,-6.95,107.5667,11946.31352,332
Nagpur,India,21.1539,79.0831,8876.533206,333
Dandong,China,40.1167,124.3833,12852.85285,334
Huainan,China,32.4831,117.0164,12513.11442,335
Shangzhou,China,33.868,109.9244,11835.48739,336
Bekasi,Indonesia,-6.2333,107,11886.60052,337
Ghaziabad,India,28.6667,77.4167,8782.343832,338
Tijuana,Mexico,32.525,-117.0333,12513.41129,339
Jiamusi,China,46.8081,130.3653,12933.77512,340
Yangjiang,China,21.8556,111.9627,12266.32637,341
Accra,Ghana,5.6037,-0.187,623.4621612,342
Yuxi,China,24.3495,102.5432,11276.70782,343
Fushun,China,41.8708,123.8917,12735.89607,344
Anshun,China,26.2456,105.934,11592.80941,345
Vancouver,Canada,49.25,-123.1,12329.97798,346
Tangerang,Indonesia,-6.1783,106.6319,11846.13006,347
Konya,Turkey,37.8714,32.4847,5365.297369,348
Queens,United States,40.7498,-73.7976,8650.758882,349
Yingkou,China,40.6653,122.2297,12661.14689,350
Adana,Turkey,37,35.325,5486.256745,351
Medan,Indonesia,3.6667,98.6667,10969.48449,352
Sanmenxia,China,34.7736,111.195,11928.81042,353
Indore,India,22.7206,75.8472,8558.377368,354
Ma'anshan,China,31.7135,118.3605,12658.0585,355
Pingliang,China,35.5412,106.6819,11509.79397,356
Quzhou,China,28.9545,118.8763,12787.26318,357
Baku,Azerbaijan,40.3667,49.8352,6734.736263,358
Gaoping,China,30.7804,106.13,11543.26197,359
Huaibei,China,33.9562,116.789,12448.86652,360
Xining,China,36.6239,101.7787,11056.26894,361
Yan'an,China,36.5952,109.4863,11735.17393,362
Havana,Cuba,23.1367,-82.3589,9226.787407,363
Phnom Penh,Cambodia,11.5696,104.921,11632.46365,364
Fukuoka,Japan,33.5903,130.4019,13641.445,365
Mogadishu,Somalia,2.0408,45.3425,5045.956191,366
Jincheng,China,35.4906,112.8483,12057.16663,367
Lishui,China,28.45,119.9167,12899.86679,368
Qingyang,China,24.8141,118.5792,12869.4038,369
Riverside,United States,33.9381,-117.3948,12503.15132,370
Baltimore,United States,39.3051,-76.6144,8860.280308,371
Haiphong,Vietnam,20.8,106.6667,11737.0908,372
Las Vegas,United States,36.2333,-115.2654,12246.99039,373
Laibin,China,23.7333,109.2333,11959.39479,374
Rawalpindi,Pakistan,33.6007,73.0679,8446.697427,375
Kumasi,Ghana,6.6833,-1.6167,764.5036137,376
Portland,United States,45.5372,-122.65,12476.70981,377
Vadodara,India,22.3,73.2,8283.032194,378
Perth,Australia,-31.9522,115.8589,12422.9865,379
Puning,China,23.2993,116.1586,12663.73301,380
San Antonio,United States,29.4658,-98.5253,10832.3843,381
Haikou,China,20.02,110.32,12125.2982,382
Vishakhapatnam,India,17.7333,83.3167,9300.054982,383
Gaziantep,Turkey,37.0667,37.3833,5632.34161,384
Minsk,Belarus,53.9022,27.5618,6506.509556,385
St. Louis,United States,38.6358,-90.2451,10029.04786,386
Bamako,Mali,12.6458,-7.9922,1659.597553,387
Quito,Ecuador,-0.2186,-78.5097,8730.077483,388
Pingxiang,China,27.6333,113.85,12341.90495,389
Chongzuo,China,22.4167,107.3667,11788.8621,390
Sanliurfa,Turkey,37.1583,38.7917,5737.510654,391
Kananga,Congo (Kinshasa),-5.897,22.4488,2576.622284,392
Peshawar,Pakistan,34,71.5,8311.826038,393
Sapporo,Japan,43.0621,141.3544,13876.75297,394
Jixi,China,45.2937,130.965,13061.71129,395
Caracas,Venezuela,10.5,-66.9333,7488.166898,396
Fuxin,China,42.0127,121.6486,12559.24337,397
Leeds,United Kingdom,53.7997,-1.5492,5984.086604,398
Sacramento,United States,38.5667,-121.4683,12686.45082,399
Blantyre,Malawi,-15.7861,35.0058,4223.528456,400
Tainan,Taiwan,22.9833,120.1833,13073.65322,401
Bucharest,Romania,44.4,26.0833,5568.84164,402
Wuwei,China,37.9278,102.6329,11112.37122,403
Bhopal,India,23.25,77.4167,8723.795491,404
Curitiba,Brazil,-25.4297,-49.2719,5993.079665,405
Xiping,China,40.08,113.3,11966.70464,406
Asuncion,Paraguay,-25.3,-57.6333,6789.020452,407
Saidu Sharif,Pakistan,34.75,72.3572,8404.304491,408
Vienna,Austria,48.2083,16.3731,5588.00019,409
Aleppo,Syria,36.2,37.15,5556.488971,410
Hamburg,Germany,53.55,10,6025.815601,411
Meru,Kenya,0.05,37.65,4186.582158,412
Brazzaville,Congo (Brazzaville),-4.2667,15.2833,1762.92467,413
Orlando,United States,28.4772,-81.3369,9161.737898,414
Mersin,Turkey,36.8,34.6167,5423.980748,415
Almaty,Kazakhstan,43.25,76.9,8951.134559,416
Barranquilla,Colombia,10.96,-74.8,8349.111436,417
Kyoto,Japan,35.0111,135.7669,14003.49314,418
Manaus,Brazil,-3.1,-60.0167,6679.073808,419
Liaoyang,China,41.2643,123.1772,12708.63032,420
Baiyin,China,36.5448,104.1766,11269.57493,421
San Jose,United States,37.3019,-121.8486,12767.48745,422
Warsaw,Poland,52.2167,21.0333,6129.22926,423
Shengli,China,37.45,118.4667,12480.21024,424
Lubumbashi,Congo (Kinshasa),-11.6697,27.4581,3297.732528,425
Damascus,Syria,33.5131,36.2919,5312.654393,426
Shuyangzha,China,34.1299,118.7734,12618.77145,427
Shangqiu,China,34.4504,115.65,12333.25397,428
Esfahan,Iran,32.6447,51.6675,6506.912153,429
Budapest,Hungary,47.4983,19.0408,5594.225619,430
Heihe,China,50.2458,127.4886,12554.69732,431
Lusaka,Zambia,-15.4167,28.2833,3547.707164,432
Diyarbakir,Turkey,37.9108,40.2367,5889.711539,433
Chinchvad,India,18.6278,73.8131,8304.493421,434
Shuozhou,China,39.3408,112.4292,11916.16418,435
Vitoria,Brazil,-20.324,-40.366,4937.020017,436
Cleveland,United States,41.4767,-81.6804,9315.710556,437
Pittsburgh,United States,40.4396,-79.9762,9161.265036,438
Mecca,Saudi Arabia,21.4225,39.8261,4932.966142,439
Patna,India,25.61,85.1414,9520.681678,440
Mosul,Iraq,36.3667,43.1167,6004.582929,441
Austin,United States,30.3004,-97.7522,10751.44204,442
Sanzhou,China,30.82,108.4,11756.68693,443
Conakry,Guinea,9.5092,-13.7122,1849.733757,444
Kampala,Uganda,0.3136,32.5811,3623.080257,445
Ecatepec,Mexico,19.6097,-99.06,10956.3256,446
Cincinnati,United States,39.1413,-84.5061,9534.234195,447
Makassar,Indonesia,-5.1331,119.4136,13264.07585,448
Yushan,China,31.3867,120.9766,12906.00348,449
Ludhiana,India,30.9083,75.8486,8661.311684,450
Newcastle,United Kingdom,55.0077,-1.6578,6118.57522,451
Depok,Indonesia,-6.394,106.8225,11866.39655,452
Zhongli,Taiwan,24.965,121.2168,13124.03553,453
Kansas City,United States,39.1239,-94.5541,10400.45318,454
Rabat,Morocco,34.0253,-6.8361,3850.095728,455
Ouagadougou,Burkina Faso,12.3572,-1.5353,1384.48866,456
Davao,Philippines,7.0667,125.6,13931.80081,457
Manhattan,United States,40.7834,-73.9662,8665.404614,458
Semarang,Indonesia,-6.9667,110.4167,12260.54044,459
Yinchuan,China,38.4795,106.2254,11412.71533,460
Multan,Pakistan,30.1978,71.4711,8235.092064,461
Caloocan City,Philippines,14.65,120.9667,13327.5897,462
Harare,Zimbabwe,-17.8292,31.0522,3931.700581,463
Novosibirsk,Russia,55.0333,82.9167,9557.132976,464
Chengtangcun,China,35.0833,117.15,12445.91947,465
Agra,India,27.18,78.02,8824.541641,466
Karaj,Iran,35.8327,50.9915,6595.783789,467
Indianapolis,United States,39.7771,-86.1458,9678.482343,468
Jingdezhen,China,29.2942,117.2036,12620.50212,469
Puebla,Mexico,19.0333,-98.1833,10867.65802,470
Kalyan,India,19.2502,73.1602,8242.768737,471
Madurai,India,9.9197,78.1194,8706.699273,472
Gujranwala,Pakistan,32.15,74.1833,8524.146945,473
Benxi,China,41.292,123.761,12752.11679,474
Jamshedpur,India,22.8,86.1833,9616.55712,475
Zhuhai,China,22.2769,113.5678,12422.41815,476
Recife,Brazil,-8.0539,-34.8808,3967.901547,477
Columbus,United States,39.9862,-82.985,9410.704096,478
Tabriz,Iran,38.0833,46.2833,6343.331025,479
Santiago,Dominican Republic,19.5,-70.67,7986.063488,480
Maracaibo,Venezuela,10.6333,-71.6333,8001.719776,481
Beihai,China,21.4667,109.1,11979.20075,482
Shuangyashan,China,46.6388,131.1545,12994.73785,483
Kobe,Japan,34.6913,135.183,13975.28712,484
Charlotte,United States,35.208,-80.8304,9175.840967,485
Yucheng,China,29.9888,103.0007,11257.13889,486
Changshu,China,31.65,120.7333,12875.26089,487
Ximeicun,China,24.9633,118.3811,12846.22986,488
Jianguang,China,28.1958,115.7833,12514.32634,489
Gwangju,"Korea, South",35.1667,126.9167,13277.82387,490
Xushan,China,30.1697,121.2665,12972.40901,491
Guiping,China,23.4,110.0833,12050.39889,492
Nasik,India,20,73.7833,8315.976719,493
Porto Alegre,Brazil,-30.0328,-51.23,6357.349527,494
Zhangjiajie,China,29.1255,110.4844,11987.12139,495
