City,Country,Latitude,Longitude,Distance
Weihai,China,37.5,122.1,0
Chattogram,Bangladesh,22.335,91.8325,0
Santo Domingo,Dominican Republic,18.4764,-69.8933,0
Xuanzhou,China,30.9475,118.7518,0
Sanming,China,26.2658,117.6302,0
Brooklyn,United States,40.6501,-73.9496,0
Medellin,Colombia,6.2447,-75.5748,0
Brisbane,Australia,-27.4678,153.0281,0
Baoshan,China,25.1211,99.169,0
Dubai,United Arab Emirates,25.2697,55.3094,0
Luohe,China,33.583,114.0109,0
Qinbaling,China,35.7278,107.64,0
Mirzapur,India,25.15,82.58,0
Guangyuan,China,32.4353,105.8398,0
Cali,Colombia,3.44,-76.5197,0
Daegu,"Korea, South",35.8667,128.6,0
Fortaleza,Brazil,-3.7275,-38.5275,0
Guatemala City,Guatemala,14.6099,-90.5252,0
Yaounde,Cameroon,3.8578,11.5181,0
Douala,Cameroon,4.05,9.7,0
Jilin,China,43.85,126.55,0
Lianshan,China,40.7503,120.83,0
Lincang,China,23.8864,100.0871,0
Antalya,Turkey,36.9081,30.6956,0
Tashkent,Uzbekistan,41.3,69.2667,0
Huangshi,China,30.2018,115.0326,0
Bandung,Indonesia,-6.95,107.5667,0
Nagpur,India,21.1539,79.0831,0
Dandong,China,40.1167,124.3833,0
Huainan,China,32.4831,117.0164,0
Shangzhou,China,33.868,109.9244,0
Bekasi,Indonesia,-6.2333,107,0
Ghaziabad,India,28.6667,77.4167,0
Tijuana,Mexico,32.525,-117.0333,0
Jiamusi,China,46.8081,130.3653,0
Yangjiang,China,21.8556,111.9627,0
Accra,Ghana,5.6037,-0.187,0
Yuxi,China,24.3495,102.5432,0
Fushun,China,41.8708,123.8917,0
Anshun,China,26.2456,105.934,0
Vancouver,Canada,49.25,-123.1,0
Tangerang,Indonesia,-6.1783,106.6319,0
Konya,Turkey,37.8714,32.4847,0
Queens,United States,40.7498,-73.7976,0
Yingkou,China,40.6653,122.2297,0
Adana,Turkey,37,35.325,0
Medan,Indonesia,3.6667,98.6667,0
Sanmenxia,China,34.7736,111.195,0
Indore,India,22.7206,75.8472,0
Ma'anshan,China,31.7135,118.3605,0
Pingliang,China,35.5412,106.6819,0
Quzhou,China,28.9545,118.8763,0
Baku,Azerbaijan,40.3667,49.8352,0
Gaoping,China,30.7804,106.13,0
Huaibei,China,33.9562,116.789,0
Xining,China,36.6239,101.7787,0
Yan'an,China,36.5952,109.4863,0
Havana,Cuba,23.1367,-82.3589,0
Phnom Penh,Cambodia,11.5696,104.921,0
Fukuoka,Japan,33.5903,130.4019,0
Mogadishu,Somalia,2.0408,45.3425,0
Jincheng,China,35.4906,112.8483,0
Lishui,China,28.45,119.9167,0
Qingyang,China,24.8141,118.5792,0
Riverside,United States,33.9381,-117.3948,0
Baltimore,United States,39.3051,-76.6144,0
Haiphong,Vietnam,20.8,106.6667,0
Las Vegas,United States,36.2333,-115.2654,0
Laibin,China,23.7333,109.2333,0
Rawalpindi,Pakistan,33.6007,73.0679,0
Kumasi,Ghana,6.6833,-1.6167,0
Portland,United States,45.5372,-122.65,0
Vadodara,India,22.3,73.2,0
Perth,Australia,-31.9522,115.8589,0
Puning,China,23.2993,116.1586,0
San Antonio,United States,29.4658,-98.5253,0
Haikou,China,20.02,110.32,0
Vishakhapatnam,India,17.7333,83.3167,0
Gaziantep,Turkey,37.0667,37.3833,0
Minsk,Belarus,53.9022,27.5618,0
St. Louis,United States,38.6358,-90.2451,0
Bamako,Mali,12.6458,-7.9922,0
Quito,Ecuador,-0.2186,-78.5097,0
Pingxiang,China,27.6333,113.85,0
Chongzuo,China,22.4167,107.3667,0
Sanliurfa,Turkey,37.1583,38.7917,0
Kananga,Congo (Kinshasa),-5.897,22.4488,0
Peshawar,Pakistan,34,71.5,0
Sapporo,Japan,43.0621,141.3544,0
Jixi,China,45.2937,130.965,0
Caracas,Venezuela,10.5,-66.9333,0
Fuxin,China,42.0127,121.6486,0
Leeds,United Kingdom,53.7997,-1.5492,0
Sacramento,United States,38.5667,-121.4683,0
Blantyre,Malawi,-15.7861,35.0058,0
Tainan,Taiwan,22.9833,120.1833,0
Bucharest,Romania,44.4,26.0833,0
Wuwei,China,37.9278,102.6329,0
Bhopal,India,23.25,77.4167,0
Curitiba,Brazil,-25.4297,-49.2719,0
Xiping,China,40.08,113.3,0
Asuncion,Paraguay,-25.3,-57.6333,0
Saidu Sharif,Pakistan,34.75,72.3572,0
Vienna,Austria,48.2083,16.3731,0
Aleppo,Syria,36.2,37.15,0
Hamburg,Germany,53.55,10,0
Meru,Kenya,0.05,37.65,0
Brazzaville,Congo (Brazzaville),-4.2667,15.2833,0
