City,Country,Latitude,Longitude,Distance
Addis Ababa,Ethiopia,9.0272,38.7369,4622.04619802718
Giza,Egypt,29.987,31.2118,4351.707263380274
Meishan,China,30.0575,103.8381,2582.141752792958
Brasilia,Brazil,-15.7744,-48.0773,14210.120399475247
Mashhad,Iran,36.3069,59.6042,1716.0641394261515
Jinzhou,China,41.1144,121.1292,4104.722663568972
Tieling,China,42.2841,123.8365,4333.449856116239
Shaoguan,China,24.8011,113.5927,3656.343564276047
Shanwei,China,22.7664,115.3331,3900.325720845221
Minneapolis,United States,44.9635,-93.2678,11545.602575600507
Kyiv,Ukraine,50.45,30.5236,4394.281765125316
Sanaa,Yemen,15.35,44.2,3732.6496829688936
Quezon City,Philippines,14.6333,121.0333,4832.742130746789
Dingxi,China,35.5806,104.6263,2632.460441542175
Salvador,Brazil,-12.9708,-38.5108,13152.183434095372
Incheon,"Korea, South",37.4639,126.6486,4593.640201161386
Bursa,Turkey,40.1833,29.0667,4403.196759584124
Ningde,China,26.6667,119.5167,4160.093534200404
Tampa,United States,27.9942,-82.4451,13132.422167606379
Daqing,China,46.5979,125.008,4457.889305321054
Birmingham,United Kingdom,52.48,-1.9025,6622.914993108202
Putian,China,25.4394,119.0103,4152.093407619286
Huzhou,China,30.8695,120.0958,4103.280136272726
Wuzhou,China,23.4833,111.3167,3488.481156325723
Denver,United States,39.7621,-104.8759,12180.994045825868
Rome,Italy,41.8931,12.4828,5767.9042750848575
La Paz,Bolivia,-16.4942,-68.1475,16138.860319612428
Pyongyang,"Korea, North",39.03,125.73,4499.4473758653
Kano,Nigeria,12,8.5167,7271.370580901953
Taichung,Taiwan,24.15,120.6667,4356.521480606362
Omdurman,Sudan,15.6835,32.4629,4799.0761941849705
Zigong,China,29.3498,104.7645,2683.1482371319707
Qinhuangdao,China,39.9398,119.5881,3970.6369222651815
Mudanjiang,China,44.5861,129.5997,4802.838812219509
Huludao,China,40.7094,120.8378,4078.830635967406
Kaohsiung,Taiwan,22.6167,120.3,4380.9993902331025
Xiangtan,China,27.8431,112.9228,3496.894468061888
Guayaquil,Ecuador,-2.1833,-79.8833,16013.354803572898
Rizhao,China,35.4164,119.4331,3971.739751826075
Manchester,United Kingdom,53.4794,-2.2453,6622.766340818361
Cawnpore,India,26.4725,80.3311,576.7071983960041
Baotou,China,40.6562,109.8345,3155.7515530609858
Taipei,Taiwan,25.0478,121.5319,4406.584406761834
Nanping,China,26.6448,118.1728,4032.64690819331
Longyan,China,25.0881,117.0244,3974.4133373137342
Ibadan,Nigeria,7.3964,3.9167,7961.2466791675615
Hohhot,China,40.8151,111.6629,3310.6207115122115
Chaozhou,China,23.67,116.63,3988.6024980295824
Antananarivo,Madagascar,-18.9386,47.5214,6346.673685493314
Longba,China,33.535,105.349,2692.8755797219114
Weihai,China,37.5,122.1,4193.282212301735
Chattogram,Bangladesh,22.335,91.8325,1751.525064238233
Santo Domingo,Dominican Republic,18.4764,-69.8933,13496.358930392573
Xuanzhou,China,30.9475,118.7518,3975.7351482014424
Sanming,China,26.2658,117.6302,3992.866488179633
Brooklyn,United States,40.6501,-73.9496,11534.677580985228
Medellin,Colombia,6.2447,-75.5748,14970.144006370463
Brisbane,Australia,-27.4678,153.0281,10344.034040042694
Baoshan,China,25.1211,99.169,2272.3805227352054
Dubai,United Arab Emirates,25.2697,55.3094,2196.907306861099
Luohe,China,33.583,114.0109,3493.8798833572764
Qinbaling,China,35.7278,107.64,2905.234892754893
Mirzapur,India,25.15,82.58,831.7848030861174
Guangyuan,China,32.4353,105.8398,2743.7190889369563
Cali,Colombia,3.44,-76.5197,15286.687662857945
Daegu,"Korea, South",35.8667,128.6,4788.571056640798
Fortaleza,Brazil,-3.7275,-38.5275,12638.329967520285
Guatemala City,Guatemala,14.6099,-90.5252,14802.485313988835
Yaounde,Cameroon,3.8578,11.5181,7439.976161215009
Douala,Cameroon,4.05,9.7,7600.471352606978
Jilin,China,43.85,126.55,4558.59236174636
Lianshan,China,40.7503,120.83,4078.3055332158997
Lincang,China,23.8864,100.0871,2410.1114308971796
Antalya,Turkey,36.9081,30.6956,4281.177076199069
Tashkent,Uzbekistan,41.3,69.2667,1363.8141356381755
Huangshi,China,30.2018,115.0326,3641.212914210947
Bandung,Indonesia,-6.95,107.5667,5309.492280129536
Nagpur,India,21.1539,79.0831,1081.5708147469818
Dandong,China,40.1167,124.3833,4378.883771181036
Huainan,China,32.4831,117.0164,3786.0973710542125
Shangzhou,China,33.868,109.9244,3114.6953211665686
Bekasi,Indonesia,-6.2333,107,5208.202505033391
Ghaziabad,India,28.6667,77.4167,229.52835873694568
Tijuana,Mexico,32.525,-117.0333,12837.069109923117
Jiamusi,China,46.8081,130.3653,4866.980421525165
Yangjiang,China,21.8556,111.9627,3617.7822940410447
Accra,Ghana,5.6037,-0.187,8453.44927706716
Yuxi,China,24.3495,102.5432,2621.229949637695
Fushun,China,41.8708,123.8917,4336.949183338679
Anshun,China,26.2456,105.934,2875.445591644727
Vancouver,Canada,49.25,-123.1,10910.233658789402
Tangerang,Indonesia,-6.1783,106.6319,5179.261066849805
Konya,Turkey,37.8714,32.4847,4116.816608344122
Queens,United States,40.7498,-73.7976,11519.139065105699
Yingkou,China,40.6653,122.2297,4196.0722245047955
Adana,Turkey,37,35.325,3869.9489141028603
Medan,Indonesia,3.6667,98.6667,3774.6288786062387
Sanmenxia,China,34.7736,111.195,3227.52190456332
Indore,India,22.7206,75.8472,890.3325305265456
Ma'anshan,China,31.7135,118.3605,3924.2214257154524
Pingliang,China,35.5412,106.6819,2817.8591891482556
